"He wrote the script in cooperation with Bianca Olsen, Laurie Aubanel and Cyril Rambour."	"In collaboration with Bianca Olsen, Laurie Aubanel and Cyril Rambour, he wrote the script."			
The latter study is one of the few prospective demonstrations that environmental stress remains associated with hypertension and LVH.	The latter study is one of the few prospective demonstrations that remains associated with high blood pressure and LVH environmental stress.			
"Surrounding suburbs are (from north to south): Balgownie, Mount Pleasant; Mount Ousley; Keiraville; West Wollongong; Figtree and Mount Kembla."	"Surrounding suburbs are (from the north to the south): Balgownie, Mount Pleasant, Mount Ousley, Keiraville, West Wollongong, Figtree and Mount Kembla."			
"Surrounding suburbs are (from north to south): Balgownie, Mount Pleasant; Mount Ousley; Keiraville; West Wollongong; Figtree and Mount Kembla."	"Surrounding suburbs (from the north to the south) are Balgownie, Mount Pleasant, Mount Ousley, Keiraville, West Wollongong, Figtree and Mount Kembla."			
"Surrounding suburbs are (from north to south): Balgownie, West Wollongong, Mount Ousley, Mount Pleasant, Keiraville, Figtree and Mount Kembla."	"The surrounding suburbs (from north to south) are Balgownie, West Wollongong, Mount Ousley, Mount Pleasant, Keiraville, Figtree and Mount Kembla."			
"The codice _ 2 branch is updated daily, and the codice _ 3 branch gets updated every 6 months."	"The branch codice 2 is updated daily, the codice 3 branch is updated every 6 months."			
"The codice _ 2 branch is updated daily, and the codice _ 3 branch gets updated every 6 months."	"The branch codice 2 is updated daily, the branch codice 3 is updated every 6 months."			
"The codice _ 2 branch gets updated daily, and the codice _ 3 branch is updated for every 6 months."	"The branch codice 2 is updated daily, and the branch codice 3 is updated every 6 months."			
"The codice _ 2 branch gets updated daily, and the codice _ 3 branch is updated for every 6 months."	"The codice 2 branch is updated daily, and the branch codice 3 is updated every 6 months."			
He served in the 11th Congress and the 12th Congress.	He served in the 11th Congress and in the 12th Congress.			
He served in the 12th Congress and the 11th Congress.	He served in the 12th Congress and in the 11th Congress.			
"The divide passes through or touches the states of West Virginia, Virginia, North Carolina, South Carolina, Georgia, Alabama, Mississippi, Tennessee and Kentucky."	"The divide happens or touches the states of West Virginia, Virginia, North Carolina, South Carolina, Georgia, Alabama, Mississippi, Tennessee and Kentucky."			
"The divide passes through or touches the states of Mississippi, Tennessee, Virginia, North Carolina, South Carolina, Georgia, Alabama, West Virginia and Kentucky."	"The division goes through or touches the states of Mississippi, Tennessee, Virginia, North Carolina, South Carolina, Georgia, Alabama, West Virginia and Kentucky."			
The energy density of methanol is an order of magnitude higher than even highly compressed hydrogen and 15 times greater than Lithium-ion batteries.	The energy density of methanol is an order of magnitude higher than even heavily compressed hydrogen and 15 times greater than that of lithium-ion batteries.			
"Botanist Aaron Davis and gardeners Matt Bishop and John Grimshaw, authors of the works on which these notes are based, also qualify as galanthophiles."	"As galanthophiles, the authors of the works on which these notes are based also apply, the botanist Aaron Davis and the gardeners Matt Bishop and John Grimshaw."			
"Botanist Aaron Davis and gardeners John Grimshaw and Matt Bishop, authors of the works on which these notes are based, also qualify as galanthophiles."	"As galanthophiles, the authors of the works on which these notes are based also apply, the botanist Aaron Davis and the gardeners John Grimshaw and Matt Bishop."			
"This species is present in Italy, in France and in Switzerland."	"This species is present in Italy, France and in Switzerland."			
"This species is present in Switzerland, in France and in Italy."	"This species is present in Switzerland, France and Italy."			
"The question of how many Islanders were ""blackbirded"" is unknown and remains controversial."	"The question of how many islanders were ""ashes"" is unknown and remains controversial."			
The band did not perform any final official shows.	The band did not perform official final shows.			
"Asia Argento (; born Aria Maria Vittoria Rossa Argento; 20 September 1975) is an Italian actress, singer, model, activist and director."	"Argento (born September 20, 1975 in Argento, Aria Maria Vittoria Rossa Argento) is an Italian actress, singer, model, activist and director."			
"Asia Argento (; born Aria Maria Vittoria Rossa Argento; 20 September 1975) is an Italian actress, singer, model, activist and director."	"Argento (born Aria Maria Vittoria Rossa Argento; September 20, 1975) is an Italian actress, singer, model, activist and director."			
"Maria Vittoria Rossa Argento (; born Aria Asia Argento; 20 September 1975) is an Italian actress, singer, model, activist and director."	"Maria Maria Vittoria Rossa Argento (born September 20, 1975 in Aria Asia Argento) is an Italian actress, singer, model, activist and film director."			
"Maria Vittoria Rossa Argento (; born Aria Asia Argento; 20 September 1975) is an Italian actress, singer, model, activist and director."	"Maria Maria Vittoria Rossa Argento (born 20 September, 1975 in Aria Asia Argento) is an Italian actress, singer, model, activist and director."			
"Studies on male rats and rabbits have shown that inhalation of dichloroacetylene can cause tubular necrosis, focal necrosis, and other nephrotoxic effects."	"Studies on male rats and rabbits have shown that the inhalation of dichloroacetylene can cause tubular necrosis, focal necrosis, and other nephrotoxic effects."			
New Zealand has similar restrictions contained in its Unsolicited Electronic Messages Act 2007.	New Zealand has similar restrictions in its 2007 Act on Unsolicited Electronic Messages.			
New Zealand has similar restrictions contained in its Electronic Unsolicited Messages Act 2007.	New Zealand has similar restrictions in its 2007 Act on Electronic Unsolicited Messages.			
"The video includes appearances by Slim Thug, Paul Wall, K-Rino, Willie D, Nikki Jean, and Bun B with Lupe Fiasco."	"The video includes appearances by Slim Thug, Paul Wall, K- Rino, Willie D, Nikki Jean and Bun B with Lupe Fiasco."			
"As a result of this success, other multinational groups such as Unilever, Microsoft, Digital Equipment, Schlumberger or Lazard approached the services of Leclercq's firm."	"As a result of this success, other multinational companies such as Unilever, Microsoft, Digital Equipment, Schlumberger or Lazard have approached the services of Leclercq's company."			
"While Tony lunches at a golf course with Angelo, Johnny Sack, and Carmine Lupertazzi, Carmine suffers a massive stroke and is rushed to the hospital."	"While Tony lunches with Angelo, Johnny Sack and Carmine Lupertazzi on a golf course, Carmine suffers a massive stroke and is admitted to the hospital."			
Tamara Nikolayevna Bratus married Igor Moskvin in 1964.	"In 1964, Nikolayevna married Bratus Igor Moskvin."			
Igor Moskvin married Tamara Nikolayevna Bratus in 1964.	"In 1964, Igor Moskvin Tamara married Nikolayevna Bratus."			
Igor Moskvin married Tamara Nikolayevna Bratus in 1964.	"In 1964, Igor married Moskvin Tamara Nikolayevna Bratus."			
"Brown married Susie J. Clarke in Ayer, Massachusetts, on December 30, 1888."	"On December 30, 1888, she married in Ayer, Massachusetts, Susie J. Clarke."			
"Brown married Susie J. Clarke in Ayer, Massachusetts, on December 30, 1888."	"On December 30, 1888, she married Susie J. Clarke in Ayer, Massachusetts."			
"Susie J. Clarke married Brown in Ayer, Massachusetts, on December 30, 1888."	"On December 30, 1888, Susie married Clarke Brown in Ayer, Massachusetts."			
"Susie J. Clarke married Brown in Ayer, Massachusetts, on December 30, 1888."	"Susie J. Clarke married Brown on 30 December 1888 in Ayer, Massachusetts, USA."			
Richardson is married to Colin MacDougall.	Colin MacDougall is a married to Richardson.			
"Other famous spa towns include Sandanski, Hisarya, Bankya, Devin, Kyustendil, Varshets, Velingard."	"Other famous spa towns include Sandanski, Hisarya, Bankya, Devin, Kyustendil, Varshets and Velingard."			
Schrankia capnophanes is a species of moth of the Erebidae family. It is found in Australia (Tasmania).	Schrankia capnophanes is a species of moth of the Erebida family. It is found in Australia (Tasmania).			
"Thomas Keiser (born March 28, 1989) is an American football linebacker who is currently a free agent. Keiser played college football at Stanford University."	"Thomas Keiser (born March 28, 1989) is an American football player who is currently a free agent and played at Stanford University College Football."			
"Miechucino is a non-operational PKP railway station in Pomeranian Voivodeship (Miechucino), Poland."	"Miechucino is a non-operational PKP railway station in the Pomeranian Voivodeship (Miechucino), Poland."			
Elachista menura is a moth of the Elachistidae family that is found in the coastal areas and mountainous areas of New South Wales and Queensland.	"Elachista menura is a mother of the Elachistidae family, which is found in the coastal areas and mountainous areas of New South Wales and Queensland."			
"The best type of silk produced in Astarawas is exported to Venice, Bursa, Kashan and Damascus."	"The best silk produced in Astarawas is exported to Venice, Bursa, Kashan and Damascus."			
"France took a medal in each of the three team events, but won no more gold medals."	"In each of the three team events France took a medal, but no longer won gold medals."			
"France took a medal in each of the three team events, but won no more gold medals."	"In each of the three team events France won a medal, but won no more gold medals."			
"Euacidalia brownsvillea is a moth of the family Geometridae. It is found in North America, including Texas as well as Hawaii."	"Euacidalia brownsvillea is a moth of the Geometridae family that is found in North America, including Texas as well as Hawaii."			
"According to the U.S. Census Bureau, the county has a total area of, of which is land and (2.1%) is water."	"According to the U.S. Census Bureau, the county has a total area of which is land and (2.1%) water."			
"According to the U.S. Census Bureau, the county is a total area of, of which has land and (2.1%) is water."	"According to the U.S. Census Bureau, the county is a total area of land and 2.1% of water."			
"According to the U.S. Census Bureau, the county is a total area of, of which has land and (2.1%) is water."	"According to the U.S. Census Bureau, the county is a total surface area of which there is a land and 2.1% of water."			
"He soon found his place among the stalwarts as Ritter, Hoksary, Steiner, Wetzer, Semler and Vogl."	"As Knights, Hoksary, Steiner, Wetzer, Semler and Vogl, he soon found his place among the Stalwarts."			
"He soon found his place among the stalwarts as Steiner, Hoksary, Semler, Wetzer, Ritter and Vogl."	"As Steiner, Hoksary, Semler, Wetzer, Ritter and Vogl he soon found his place among the regular guests."			
"Essex Thameside is a railway franchise for the provision of passenger services on the London, Tilbury and Southend Railway in east London and south Essex."	"Thameside is a railroad franchise for the provision of passenger services on London, Tilbury and Southend Railway in the east of London and South - Essex."			
"Essex Thameside is a railway franchise for the provision of passenger services on the London, Tilbury and Southend Railway in east London and south Essex."	"Thameside is a railway franchise for the provision of passenger services on London, Tilbury and Southend Railway to the east of London and South - Essex."			
"Essex Thameside is a railway franchise for the provision of passenger services on the London, Tilbury and Southend Railway in south Essex and east London."	"Thameside is a railway company for the provision of passenger services on London, Tilbury and Southend Railway in the south of Essex and East London."			
"Since the split, both former members have formed new bands. Todd Marriott has created YGT, an electronic duo with Tom Mclean."	"Since Split, the two former members have formed new bands: Todd Marriott has established an electronic duo YGT with Tom Mclean."			
"Since the split, both former members have formed new bands. Todd Marriott has created YGT, an electronic duo with Tom Mclean."	"Since Split, the two former members have founded new bands: Todd Marriott has created an electronic duo YGT with Tom Mclean."			
"According to the United States Census Bureau, Kennesaw has a total area of, of which is land and, or 1.08%, is water."	"According to the United States Census Bureau, Kennesaw has a total surface area of which land and, or 1.08%, is water."			
"According to the United States Census Bureau, Kennesaw is a total area of, of which is land and or 1.08%, has water."	"According to the United States Census Bureau, Kennesaw is a total area of which is land and 1.08% has water."			
"The single was released in three versions: a limited edition, a regular edition, and a Star Driver edition."	"The single appeared in three versions: a Limited Edition, a Regular Edition and a Star Driver Edition."			
"The single was released in three versions: a limited edition, a regular edition, and a Star Driver edition."	"The single was released in three versions: a limited edition, a regular output, and a Star Driver edition."			
"Much of the city's crime, however, is centralized in most of its western neighborhoods and scattered neighborhoods adjacent to Hartsfield-Jackson International Airport."	"However, much of the city's crime is centralized in most of Western neighborhoods and scattered neighborhoods adjacent to Hartsfield - Jackson International Airport."			
"Much of the city's crime, however, is centralized in most of its scattered neighborhoods and western neighborhoods adjacent to Hartsfield-Jackson International Airport."	"However, much of the city's crime is centralized in most dispersed neighborhoods and Western neighborhoods adjacent to Hartsfield-Jackson International Airport."			
Jacopo Silvestri (15th century -- 16th century) was an Italian cryptographer and author.	Jacopo Silvestri (15th -- 16th century) was an Italian cryptographer and author.			
Jacopo Silvestri (16th century -- 15th century) was an Italian cryptographer and author.	Jacopo Silvestri (16th -- 15th century) was an Italian cryptographer and author.			
"Each week, Arnie, Usidore, and Chunt interview magical creatures to introduce the listener to new aspects of the world of Foon."	"Every week, Arnie, Usidore, and Chunt interview magical creatures to present new aspects of the world of Foon to the listener."			
"Each week, Chunt, Usidore, and Arnie interview magical creatures to introduce the listener to new aspects of the world of Foon."	"Every week, Chunt, Usidore, and Arnie interview magical creatures to present new aspects of the world of Foon to the listener."			
"Each week, Chunt, Usidore, and Arnie interview magical creatures to introduce the listener to new aspects of the world of Foon."	"Each week, Chunt, Usidore, and Arnie ask magical creatures to present new aspects of the world of Foon to the listener."			
"Margarita Isabel Morales y González (born Margarita Isabel; 25 July 1941 -- 9 April 2017) was a Mexican Ariel Award-winning film, and television actress."	"Margarita Isabel Morales y González (born Margarita Isabel, July 25, 1941 -- April 9, 2017) was a Mexican Ariel Award - winner, actress, film and television actress."			
"Margarita Isabel Morales y González (born Margarita Isabel; 25 July 1941 -- 9 April 2017) was a Mexican Ariel Award-winning film, and television actress."	"Margarita Isabel Morales y González (born Margarita Isabel, July 25, 1941 -- April 9, 2017) was an Ariel Award-winning Mexican film and television actress."			
"Katuwana Divisional Secretariat is a Divisional Secretariat of Southern Province, of Hambantota District, Sri Lanka."	"Katuwana Divisional Secretariat is a Divisional Secretariat of the Southern Province of Hambantota District, Sri Lanka."			
"Łąg Południowy is a PKP railway station in Łąg (Pomeranian Voivodeship), Poland."	"Łąg Południowy is a PKP railway station in Łąg (Pomeranian Voivodship), Poland."			
"Two small independent leagues remain, with only a handful of members: the Grampian Alliance League and the Highland Alliance League."	Two small independent leagues remain with only a few members: the Grampian Alliance League and the Highland Alliance League.			
"Two small independent leagues remain, with only a handful of members: the Grampian Alliance League and the Highland Alliance League."	There remain two small independent leagues with only a handful of members: the Grampian Alliance League and the Highland Alliance League.			
"Two small independent leagues remain, with only a handful of members: the Highland Alliance League and the Grampian Alliance League."	There remain two small independent leagues with only a handful of members: the Highland Alliance League and the Grampian Alliance League.			
"He has previously played for Sheffield Wednesday, Notts County, York City, Gainsborough Trinity, Matlock Town and North Ferriby United."	"He has played for Sheffield Wednesday, Notts County, York City, Gainsborough Trinity, Matlock Town, and North Ferriby United."			
"He has previously played for North Ferriby United, Notts County, York City, Gainsborough Trinity, Matlock Town and Sheffield Wednesday."	"He previously played for North Ferriby United, Notts County, York City, Gainsborough Trinity, Matlock Town, and Sheffield Wednesday."			
The 1982 -- 83 NBA season was the 37th season of the National Basketball Association.	The NBA season from 1982 to 83 was the 37th season of the National Basketball Association.			
The 1982 -- 83 NBA season was the 37th season of the National Basketball Association.	The NBA season between 1982 and 83 was the 37th season of the National Basketball Association.			
The 1982 -- 83 National Basketball Association season was the 37th season of the NBA.	The season from 1982 to 83 National Basketball Association was the 37th season of the NBA.			
The 1982 -- 83 National Basketball Association season was the 37th season of the NBA.	The season 1982 -- 83 National Basketball Association was the 37th season of NBA.			
"He played Garrett Burns, a love interest for Rachel Kinski (Caitlin Stasey)."	"He has played Garrett Burns, a love interest for Rachel Kinski (Caitlin Stasey)."			
"He played Garrett Burns, a love interest for Caitlin Stasey (Rachel Kinski)."	"He played Garrett Burns, a love of interest for Caitlin Stasey (Rachel Kinski)."			
"Hjärup is, with its more than 4,250 inhabitants, the second largest locality in Sweden, Scania, Staffanstorp Municipality."	"Hjärup, with more than 4,250 inhabitants, is the second largest town in Sweden, Scania, Staffanstorp Municipality."			
"Hjärup is, with its more than 4,250 inhabitants, the second largest locality in Sweden, Scania, Staffanstorp Municipality."	"Hjärup is the second largest city in Sweden, Scania, Staffanstorp Municipality, with more than 4,250 inhabitants."			
"Neighboring communities include Libertyville, Mundelein, Round Lake Park, Hainesville, Round Lake Beach, Lindenhurst, Third Lake, Gages Lake and Wildwood."	"Neighboring municipalities include Libertyville, Mundelein, Round Lake Park, Hainesville, Round Lake Beach, Lindenhurst, Third Lake, Gages Lake and Wildwood."			
"Neighboring communities include Libertyville, Mundelein, Round Lake Park, Hainesville, Round Lake Beach, Lindenhurst, Third Lake, Gages Lake and Wildwood."	"Neighbouring communities include Libertyville, Mundelein, Round Lake Park, Hainesville, Round Lake Beach, Lindenhurst, Third Lake, Gages Lake and Wildwood."			
"Neighboring communities include Libertyville, Mundelein, Round Lake Beach, Hainesville, Third Lake, Gages Lake, Lindenhurst, Round Lake Park and Wildwood."	"Neighboring municipalities include Libertyville, Mundelein, Round Lake Beach, Hainesville, Third Lake, Gages Lake, Lindenhurst, Round Lake Park and Wildwood."			
"Neighboring communities include Libertyville, Mundelein, Round Lake Beach, Hainesville, Third Lake, Gages Lake, Lindenhurst, Round Lake Park and Wildwood."	"Neighboring communities are Libertyville, Mundelein, Round Lake Beach, Hainesville, Third Lake, Gages Lake, Lindenhurst, Round Lake Park and Wildwood."			
"Jonté Buhl (born April 4, 1982) is a Canadian former professional football cornerback who played four seasons for the Edmonton Eskimos of the Canadian Football League."	"Jonté Buhl (born April 4, 1982) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League."			
"Jonté Buhl (born April 4, 1982) is a Canadian former professional football cornerback who played four seasons for the Edmonton Eskimos of the Canadian Football League."	"Jonté Buhl (born April 4, 1982) is a former Canadian professional football player who played for the Edmonton Eskimos of the Canadian Football League for four years."			
"Moyano secured his reelection as CGT head, however, and retained the support of 134 unions, including most of the larger ones."	"Moyano, however, secured his re-election as CGT - boss and retained the support of 134 unions, including most of the larger ones."			
"Moyano retained his reelection as CGT head, however, and secured the support of 134 unions, including most of the larger ones."	"Moyano, however, retained his re-election as CGT - head and secured the support of 134 unions, including most of the bigger ones."			
"Moyano retained his reelection as CGT head, however, and secured the support of 134 unions, including most of the larger ones."	"Moyano, however, retained his re-election as CGT boss and secured the support of 134 unions, including most of the larger ones."			
"Kuroń, Modzelewski and Michnik were detained again and a majority of the ""Komandosi"" members were imprisoned."	"Kuroń, Modzelewski and Michnik were arrested again, and a majority of the ""Komandosi"" members were imprisoned."			
"Kuroń, Modzelewski and Michnik were detained again and a majority of the ""Komandosi"" members were imprisoned."	"Kuroń, Modzelewski and Michnik were arrested again, and the majority of ""Komandosi"" members were imprisoned."			
Notre Dame got half of the $7.6 million that NBC paid for the rights each year of the deal and its opponent received the other half.	"Notre Dame received half of the 7.6 million dollars that NBC paid each year for the rights of the deal, and the opponent received the other half."			
Notre Dame got half of the $7.6 million that NBC paid for the rights each year of the deal and its opponent received the other half.	"Notre Dame received half the $ 7.6 million that NBC paid each year for the rights of the deal, and his opponent received the other half."			
Notre Dame received half of the $7.6 million that NBC paid for the rights each year of the deal and its opponent got the other half.	"Notre Dame received half of the 7.6 million dollars that NBC paid each year for the rights of the deal, and his opponent received the other half."			
Notre Dame received half of the $7.6 million that NBC paid for the rights each year of the deal and its opponent got the other half.	"Notre Dame received half the $ 7.6 million that NBC paid each year for the rights of the deal, and the opponent received the other half."			
He took night classes on the English language at the Anglo-Chinese School.	At the Anglo-Chinese School he took night lessons on the English language.			
He took night classes on the English language at the Anglo-Chinese School.	At the Anglo-Chinese School he took night classes about the English language.			
"Zion Square has been described as ""always crowded, always crazy""."	"The Zion square has been described as"" always crowded, always crazy ""."			
"This species can be found in New Britain, Bismarck Archipelago: Woodlark Island; Papua New Guinea; West Papua; and Aru Islands."	"This species can be found in New Britain, Bismarck Archipel: Woodlark Island, Papua - New Guinea, West Papua and Aru - Islands."			
"This species can be found in New Britain, Bismarck Archipelago: Woodlark Island; Papua New Guinea; West Papua; and Aru Islands."	"This species can be found in New - Britannia, Bismarck - archipelago: Woodlark Island, Papua - New Guinea, West Papua and Aru - Islands."			
Bonne Citoyenne had the misfortune to be damaged in a storm and to become separated from the rest of the French squadron.	Bonne Citoyenne had the misfortune to be damaged in a storm and separated from the rest of the French squadron.			
Bonne Citoyenne had the misfortune to become damaged in a storm and to be separated from the rest of the French squadron.	Bonne Citoyenne had the misfortune to be damaged in a storm and to be separated from the rest of the French squadron.			
A market was perceived for future tours and destinations. Scandinavia followed in April 1975 and there was another tour to Switzerland in September.	"A market was perceived for future tours and destinations, Scandinavia followed in April 1975 and in September followed another tour to Switzerland."			
A market was perceived for future tours and destinations. Scandinavia followed in April 1975 and there was another tour to Switzerland in September.	"A market was perceived for future tours and destinations, Scandinavia followed in April 1975 and in September another tour was taken in Switzerland."			
A market was perceived for future tours and destinations. Scandinavia was in April 1975 and there followed another tour to Switzerland in September.	"A market was perceived for future tours and destinations, Scandinavia was in April 1975 and in September followed another tour in Switzerland."			
A market was perceived for future tours and destinations. Scandinavia was in April 1975 and there followed another tour to Switzerland in September.	"A market was perceived for future tours and destinations, Scandinavia was in April 1975 and in September another tour followed in Switzerland."			
"The council had 27 members nominated by local authorities in Wales, the University of Wales, National Eisteddfod Council and the Welsh Tourist Board."	"The Council had 27 members nominated by local authorities in Wales, the University of Wales, the National Eisteddfod Council and the Welsh Tourist Board."			
"The council had 27 members nominated by local authorities in Wales, the University of Wales, Welsh Tourist Board and the National Eisteddfod Council."	"The Council has had 27 members nominated by the local authorities in Wales, the University of Wales, the Welsh Tourist Board and the National Eisteddfod Council."			
It allowed users to create ready-mobile projects that adapt to any screen size and orientation.	It allowed users to create ready-to-run projects that adapt to any screen size and orientation.			
"Therefore, the falling melting and boiling points of the alkali metals indicate that the strength of the metallic bonds of the alkali metals decreases down the group."	"Therefore, the falling melting and boiling points of the alkali metals indicate that the strength of the metallic bonds of the alkali metals in the group decreases."			
"1946 -- The state of Prussia is abolished after the Second World War. Meppen becomes part of the newly created ""Land"" of Lower Saxony."	"1946 -- The state of Prussia is abolished after the Second World War, Meppen becomes part of the newly created ""Land"" Lower Saxony."			
"1946 -- The state of Prussia is abolished after the Second World War. Meppen becomes part of the newly created ""Land"" of Lower Saxony."	"1946 -- After the Second World War the state of Prussia is abolished, Meppen will become part of the newly created ""Land"" Lower Saxony."			
"Ambassador Kitikiti met with President Ahmadinejad on December 24, 2007. President Mahmoud Ahmadinejad praised bilateral relations and pledged unity in the face of Western criticism."	"On December 24, 2007, Ambassador Kitikiti met President Ahmadinejad, with President Mahmoud Ahmadinejad praising bilateral relations and promising unity in the face of Western criticism."			
"Ambassador Kitikiti met with President Ahmadinejad on December 24, 2007. President Mahmoud Ahmadinejad praised bilateral relations and pledged unity in the face of Western criticism."	"Ambassador Kitikiti met President Ahmadinejad on December 24, 2007, with President Mahmoud Ahmadinejad praising bilateral relations and promising unity in the face of Western criticism."			
"In 1942, Breton collaborated with artist Wifredo Lam on the publication of Breton's poem ""Fata Morgana"", which was illustrated by Lam."	"In 1942, Breton collaborated with the artist Wifredo Lam on the publication of Breton's poem ""Fata Morgana"", illustrated by Lam."			
"In 1942, Breton collaborated with artist Lam on the publication of Breton's poem ""Fata Morgana"", which was illustrated by Wifredo Lam."	"In 1942, Breton collaborated with the artist Lam on the publication of Breton's poem ""Fata Morgana"", illustrated by Wifredo Lam."			
"Indeed, the two terms are now used also in other parts of the country."	"Indeed, the two terms are now also used in other parts of the country."			
"Indeed, the two terms are also used now in other parts of the country."	"Indeed, the two terms are now also being used in other parts of the country."			
"Indeed, the two terms are also used now in other parts of the country."	The two terms are indeed also used in other parts of the country.			
Holodecks can also be used to encourage students to describe a scene or to even build a scene.	Holodecks can also be used to encourage pupils to describe a scene or even build a scene.			
Holodecks can also be used to encourage students to build a scene or to even describe a scene.	Holodecks can also be used to encourage or even describe students to build a scene.			
Holodecks can also be used to encourage students to build a scene or to even describe a scene.	"Holodecks can also be used to encourage students to build a scene, or even to describe a scene."			
"After missing a week, the series returned on Monday, 9 July at 10pm, reduced from one hour to 30 minutes and cut from six episodes to five."	"The series returned on Monday, July 9 at 10 pm, after a missing week, from one hour to 30 minutes and from six to five episodes."			
"After missing a week, the series returned on Monday, 9 July at 10pm, reduced from one hour to 30 minutes and cut from six episodes to five."	"The series returned on Monday, July 9 at 10 pm, after a missing week, from one hour to 30 minutes and from six episodes to five."			
"Kento is a 175 cm infielder who has experience fielding as 2nd baseman, shortstop and third baseman."	"Kento is a 175 - cm infielder which has experience as 2nd Baseman, Shortstop and Third Baseman."			
Julie was a love interest for the popular character Nigel Bates (Paul Bradley).	Julie was a love interest in the popular character Nigel Bates (Paul Bradley).			
Thomas Fothergill D.D. was an English academic administrator at the University of Oxford.	Thomas Fothergill was an academic English administrator at the University of Oxford.			
Thomas Fothergill D.D. was an English academic administrator at the University of Oxford.	Thomas Fothergill was an English academic administrator at the University of Oxford.			
Thomas Fothergill D.D. was an academic English administrator at the University of Oxford.	Thomas Fothergill D.D. was an English academic administrator at the University of Oxford.			
